Time resolution is 1 ps
第 36 行数据的第 0 位为 0
第 36 行数据的第 1 位为 1
第 36 行数据的第 2 位为 1
第 36 行数据的第 3 位为 1
第 36 行数据的第 4 位为 1
第 36 行数据的第 5 位为 1
第 36 行数据的第 6 位为 1
第 36 行数据的第 7 位为 1
第 37 行数据的第 0 位为 0
第 37 行数据的第 1 位为 0
第 37 行数据的第 2 位为 0
第 37 行数据的第 3 位为 0
第 37 行数据的第 4 位为 0
第 37 行数据的第 5 位为 0
第 37 行数据的第 6 位为 0
第 37 行数据的第 7 位为 0
第 38 行数据的第 0 位为 1
第 38 行数据的第 1 位为 0
第 38 行数据的第 2 位为 0
第 38 行数据的第 3 位为 0
第 38 行数据的第 4 位为 0
第 38 行数据的第 5 位为 0
第 38 行数据的第 6 位为 0
第 38 行数据的第 7 位为 1
第 39 行数据的第 0 位为 0
第 39 行数据的第 1 位为 0
第 39 行数据的第 2 位为 0
第 39 行数据的第 3 位为 0
第 39 行数据的第 4 位为 0
第 39 行数据的第 5 位为 0
第 39 行数据的第 6 位为 0
第 39 行数据的第 7 位为 0
第 40 行数据的第 0 位为 0
第 40 行数据的第 1 位为 1
第 40 行数据的第 2 位为 1
第 40 行数据的第 3 位为 1
第 40 行数据的第 4 位为 1
第 40 行数据的第 5 位为 1
第 40 行数据的第 6 位为 1
第 40 行数据的第 7 位为 1
第 41 行数据的第 0 位为 0
第 41 行数据的第 1 位为 0
第 41 行数据的第 2 位为 0
第 41 行数据的第 3 位为 0
第 41 行数据的第 4 位为 0
第 41 行数据的第 5 位为 0
第 41 行数据的第 6 位为 0
第 41 行数据的第 7 位为 0
第 42 行数据的第 0 位为 1
第 42 行数据的第 1 位为 0
第 42 行数据的第 2 位为 0
第 42 行数据的第 3 位为 0
第 42 行数据的第 4 位为 0
第 42 行数据的第 5 位为 0
第 42 行数据的第 6 位为 0
第 42 行数据的第 7 位为 1
第 43 行数据的第 0 位为 0
第 43 行数据的第 1 位为 0
第 43 行数据的第 2 位为 0
第 43 行数据的第 3 位为 0
第 43 行数据的第 4 位为 0
第 43 行数据的第 5 位为 0
第 43 行数据的第 6 位为 0
第 43 行数据的第 7 位为 0
第 44 行数据的第 0 位为 0
第 44 行数据的第 1 位为 1
第 44 行数据的第 2 位为 1
第 44 行数据的第 3 位为 1
第 44 行数据的第 4 位为 1
第 44 行数据的第 5 位为 1
第 44 行数据的第 6 位为 1
第 44 行数据的第 7 位为 1
第 45 行数据的第 0 位为 0
第 45 行数据的第 1 位为 0
第 45 行数据的第 2 位为 0
第 45 行数据的第 3 位为 0
第 45 行数据的第 4 位为 0
第 45 行数据的第 5 位为 0
第 45 行数据的第 6 位为 0
第 45 行数据的第 7 位为 0
第 46 行数据的第 0 位为 1
第 46 行数据的第 1 位为 0
第 46 行数据的第 2 位为 0
